Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.02,,
Horizontal Delay,0.0804,,
Sample Interval,2e-05,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,2,2,5
Vertical Position,-2.44,-0.02,-0.94
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-1.960000e-02,0,-0.04,-0.1
-1.958000e-02,-0.08,0.04,0.1
-1.956000e-02,-0.08,-0.04,0.1
-1.954000e-02,-0.08,-0.04,0.1
-1.952000e-02,-0.08,-0.04,0.1
-1.950000e-02,0,-0.04,0.1
-1.948000e-02,-0.16,0.04,0.1
-1.946000e-02,0,-0.04,0.1
-1.944000e-02,-0.16,-0.04,-0.1
-1.942000e-02,-0.08,0.04,0.1
-1.940000e-02,0,-0.04,0.3
-1.938000e-02,-0.08,-0.04,0.1
-1.936000e-02,0.08,0.04,0.1
-1.934000e-02,-0.08,0.04,0.1
-1.932000e-02,-0.16,-0.04,0.3
-1.930000e-02,-0.08,-0.04,-0.1
-1.928000e-02,-0.08,-0.04,-0.1
-1.926000e-02,0,-0.04,-0.1
-1.924000e-02,-0.08,-0.04,0.1
-1.922000e-02,0,-0.04,0.1
-1.920000e-02,-0.08,-0.04,-0.1
-1.918000e-02,-0.08,0.04,0.1
-1.916000e-02,-0.08,-0.04,0.3
-1.914000e-02,-0.08,-0.04,0.1
-1.912000e-02,0,0.04,-0.1
-1.910000e-02,0,0.04,0.3
-1.908000e-02,-0.08,-0.04,-0.1
-1.906000e-02,-0.16,-0.04,-0.3
-1.904000e-02,-0.08,-0.04,0.1
-1.902000e-02,-0.08,-0.04,0.1
-1.900000e-02,-0.08,-0.04,0.1
-1.898000e-02,-0.08,-0.04,0.1
-1.896000e-02,-0.08,0.04,-0.1
-1.894000e-02,-0.08,-0.04,0.1
-1.892000e-02,-0.08,0.04,0.1
-1.890000e-02,-0.08,-0.04,0.1
-1.888000e-02,-0.08,0.04,0.3
-1.886000e-02,-0.08,-0.04,-0.1
-1.884000e-02,-0.08,-0.04,0.1
-1.882000e-02,-0.16,0.04,0.3
-1.880000e-02,-0.08,-0.04,0.1
-1.878000e-02,-0.08,-0.04,-0.3
-1.876000e-02,-0.08,-0.04,0.1
-1.874000e-02,-0.08,-0.04,0.1
-1.872000e-02,-0.16,-0.04,0.1
-1.870000e-02,-0.08,-0.04,0.1
-1.868000e-02,-0.08,0.04,0.1
-1.866000e-02,-0.16,-0.12,0.1
-1.864000e-02,0,-0.04,0.1
-1.862000e-02,-0.08,-0.04,0.1
-1.860000e-02,-0.08,0.04,-0.1
-1.858000e-02,-0.08,-0.04,0.1
-1.856000e-02,-0.08,-0.04,0.1
-1.854000e-02,-0.08,-0.04,0.1
-1.852000e-02,-0.08,-0.04,0.3
-1.850000e-02,-0.08,-0.04,0.1
-1.848000e-02,-0.08,0.04,-0.1
-1.846000e-02,-0.08,-0.04,0.1
-1.844000e-02,-0.08,0.04,0.1
-1.842000e-02,0,0.04,0.1
-1.840000e-02,-0.08,-0.04,0.1
