Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.430000e-03,0.0290625,-0.065625,0.220313,-0.00109656
-1.429000e-03,0.00375,-0.0414063,0.19375,-0.00108656
-1.428000e-03,0.0090625,-0.0398438,0.145312,-0.00106125
-1.427000e-03,0.01375,-0.00390625,0.16875,-0.00104656
-1.426000e-03,0.0384375,-0.0539062,0.217187,-0.00103156
-1.425000e-03,0.02375,-0.078125,0.267188,-0.00096125
-1.424000e-03,0.01875,-0.003125,0.26875,-0.00099125
-1.423000e-03,0.0240625,0.009375,0.11875,-0.000805938
-1.422000e-03,0.0134375,-0.0539062,0.215625,-0.000761563
-1.421000e-03,0.018125,-0.028125,0.215625,-0.00074125
-1.420000e-03,0.028125,0.00859375,0.190625,-0.00090125
-1.419000e-03,0.0246875,-0.00078125,0.270312,-0.00120031
-1.418000e-03,0.0134375,-0.102344,0.242188,-0.00103156
-1.417000e-03,0.01375,-0.0398438,0.145312,-0.00104625
-1.416000e-03,0.0140625,-0.015625,0.16875,-0.00109656
-1.415000e-03,0.0184375,-0.00390625,0.190625,-0.000986563
-1.414000e-03,0.0440625,-0.0398438,0.217187,-0.00104656
-1.413000e-03,0.013125,-0.00390625,0.167188,-0.000786875
-1.412000e-03,0.019375,-0.015625,0.0953125,-0.000815938
-1.411000e-03,0.0234375,-0.015625,0.14375,-0.00076625
-1.410000e-03,0.0434375,-0.040625,0.267188,-0.000830938
-1.409000e-03,0.00875,-0.003125,0.220313,-0.000790938
-1.408000e-03,0.01875,-0.065625,0.19375,-0.000636563
-1.407000e-03,0.00875,0.0460937,0.242188,-0.000761563
-1.406000e-03,0.0234375,-0.0664062,0.192187,-0.000861563
-1.405000e-03,0.00375,-0.078125,0.096875,-0.000885938
-1.404000e-03,0.02875,-0.0796875,0.267188,-0.000976563
-1.403000e-03,0.0090625,-0.053125,0.220313,-0.00082125
-1.402000e-03,0.0134375,-0.00390625,0.267188,-0.000906875
-1.401000e-03,0.0284375,-0.0664062,0.117188,-0.000986563
-1.400000e-03,0.0190625,-0.0898438,0.142188,-0.00103625
-1.399000e-03,0.0034375,-0.015625,0.21875,-0.00090625
-1.398000e-03,0.00875,-0.00390625,0.19375,-0.000856563
-1.397000e-03,0.0234375,-0.065625,0.165625,-0.00081125
-1.396000e-03,0.0240625,-0.0523438,0.16875,-0.00078625
-1.395000e-03,0.0284375,-0.0789063,0.242188,-0.000631563
-1.394000e-03,0.0134375,-0.0789063,0.142188,-0.000686563
-1.393000e-03,0.02875,-0.040625,0.217187,-0.00061625
-1.392000e-03,0.0284375,-0.0414063,0.146875,-0.00077125
-1.391000e-03,0.0240625,-0.078125,0.11875,-0.000655938
