Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.05
Vertical Position,0,-1.8,-2.34
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-0.68,0.4,0.041
1.0e-06,-0.68,0.392,0.039
2.0e-06,-0.68,0.408,0.045
3.0e-06,-0.68,0.4,0.043
4.0e-06,-0.72,0.4,0.043
5.0e-06,-0.72,0.408,0.043
6.0e-06,-0.72,0.4,0.041
7.0e-06,-0.72,0.4,0.041
8.0e-06,-0.76,0.408,0.041
9.0e-06,-0.72,0.4,0.045
1.0e-05,-0.72,0.408,0.043
1.1e-05,-0.68,0.392,0.043
1.2e-05,-0.72,0.4,0.045
1.3e-05,-0.72,0.4,0.041
1.4e-05,-0.68,0.4,0.043
1.5e-05,-0.68,0.4,0.041
1.6e-05,-0.72,0.4,0.041
1.7e-05,-0.72,0.4,0.043
1.8e-05,-0.68,0.408,0.045
1.9e-05,-0.72,0.408,0.045
2.0e-05,-0.72,0.408,0.043
2.1e-05,-0.76,0.4,0.041
2.2e-05,-0.68,0.4,0.043
2.3e-05,-0.76,0.408,0.039
2.4e-05,-0.72,0.408,0.043
2.5e-05,-0.68,0.4,0.043
2.6e-05,-0.68,0.4,0.041
2.7e-05,-0.72,0.4,0.041
2.8e-05,-0.68,0.4,0.041
2.9e-05,-0.68,0.4,0.041
3.0e-05,-0.68,0.4,0.041
3.1e-05,-0.64,0.408,0.041
3.2e-05,-0.68,0.408,0.041
3.3e-05,-0.72,0.4,0.045
3.4e-05,-0.64,0.408,0.041
3.5e-05,-0.68,0.392,0.041
3.6e-05,-0.68,0.4,0.043
3.7e-05,-0.68,0.408,0.041
3.8e-05,-0.68,0.4,0.041
3.9e-05,-0.72,0.392,0.043
4.0e-05,-0.68,0.408,0.043
4.1e-05,-0.72,0.4,0.041
4.2e-05,-0.68,0.408,0.041
4.3e-05,-0.72,0.408,0.043
4.4e-05,-0.72,0.408,0.043
4.5e-05,-0.72,0.408,0.045
4.6e-05,-0.68,0.408,0.043
4.7e-05,-0.68,0.4,0.043
4.8e-05,-0.68,0.4,0.045
4.9e-05,-0.68,0.408,0.041
5.0e-05,-0.68,0.392,0.043
5.1e-05,-0.68,0.4,0.043
5.2e-05,-0.68,0.4,0.041
5.3e-05,-0.68,0.4,0.043
5.4e-05,-0.68,0.408,0.043
5.5e-05,-0.68,0.408,0.047
5.6e-05,-0.64,0.4,0.043
5.7e-05,-0.68,0.408,0.043
5.8e-05,-0.64,0.408,0.041
5.9e-05,-0.68,0.392,0.041
6.0e-05,-0.64,0.4,0.041
6.1e-05,-0.68,0.408,0.043
6.2e-05,-0.68,0.408,0.043
6.3e-05,-0.68,0.408,0.043
6.4e-05,-0.64,0.4,0.041
6.5e-05,-0.68,0.4,0.041
6.6e-05,-0.72,0.408,0.043
6.7e-05,-0.68,0.4,0.045
