Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.430000e-03,-0.00125,-0.0164063,0.270312,-0.00089125
-1.429000e-03,0.0034375,0.046875,0.16875,-0.000861563
-1.428000e-03,-0.0165625,-0.0148437,0.246875,-0.00077625
-1.427000e-03,-0.0215625,-0.0164063,0.34375,-0.000855938
-1.426000e-03,-0.00125,-0.015625,0.21875,-0.00092125
-1.425000e-03,-0.01125,-0.053125,0.26875,-0.00106656
-1.424000e-03,-0.00125,-0.0273438,0.195312,-0.00099125
-1.423000e-03,-0.0215625,-0.0414063,0.215625,-0.00114688
-1.422000e-03,0.0034375,-0.015625,0.292188,-0.00119156
-1.421000e-03,-0.0309375,0.009375,0.292188,-0.00120656
-1.420000e-03,-0.0165625,-0.015625,0.120313,-0.00110625
-1.419000e-03,-0.0065625,-0.0289063,0.267188,-0.00100656
-1.418000e-03,-0.01125,-0.0148437,0.21875,-0.00104156
-1.417000e-03,-0.01125,0.0460937,0.16875,-0.00112625
-1.416000e-03,-0.00125,-0.0289063,0.0671875,-0.00112625
-1.415000e-03,-0.0165625,-0.003125,0.190625,-0.00134156
-1.414000e-03,-0.01625,-0.0648438,0.295312,-0.00129125
-1.413000e-03,-0.0115625,0.009375,0.242188,-0.00123156
-1.412000e-03,-0.01125,-0.00390625,0.19375,-0.00127594
-1.411000e-03,-0.0265625,0.009375,0.16875,-0.00135656
-1.410000e-03,-0.0109375,-0.028125,0.196875,-0.00154563
-1.409000e-03,-0.01625,-0.0664062,0.190625,-0.00125656
-1.408000e-03,-0.0115625,-0.00390625,0.292188,-0.00128188
-1.407000e-03,-0.0115625,-0.0289063,0.215625,-0.00120125
-1.406000e-03,-0.02125,-0.028125,0.16875,-0.00124625
-1.405000e-03,0.0034375,-0.040625,0.21875,-0.00128125
-1.404000e-03,0.0034375,-0.00390625,0.267188,-0.00136625
-1.403000e-03,-0.0065625,-0.003125,0.14375,-0.00139156
-1.402000e-03,-0.00625,-0.028125,0.24375,-0.00136156
-1.401000e-03,-0.0165625,-0.0289063,0.217187,-0.00125156
-1.400000e-03,0.0034375,0.00859375,0.24375,-0.00129125
-1.399000e-03,-0.0159375,-0.015625,0.115625,-0.00126625
-1.398000e-03,-0.01625,-0.040625,0.34375,-0.00115156
-1.397000e-03,0.00875,-0.0539062,0.29375,-0.00113625
-1.396000e-03,-0.0009375,-0.065625,0.245313,-0.00110625
-1.395000e-03,-0.00625,-0.003125,0.24375,-0.00107625
-1.394000e-03,-0.0009375,-0.0523438,0.19375,-0.00105125
-1.393000e-03,-0.02125,0.0101562,0.24375,-0.00108094
-1.392000e-03,-0.00625,-0.00390625,0.19375,-0.000971563
