Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-1.72,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
0.0e+00,-2.24,0.128,0.59
1.0e-06,-2.16,0.128,0.59
2.0e-06,-2.2,0.128,0.57
3.0e-06,-2.16,0.128,0.55
4.0e-06,-2.2,0.136,0.57
5.0e-06,-2.24,0.128,0.59
6.0e-06,-2.2,0.128,0.57
7.0e-06,-2.28,0.136,0.57
8.0e-06,-2.24,0.128,0.57
9.0e-06,-2.2,0.128,0.57
1.0e-05,-2.2,0.136,0.57
1.1e-05,-2.24,0.136,0.59
1.2e-05,-2.2,0.128,0.57
1.3e-05,-2.24,0.128,0.57
1.4e-05,-2.24,0.128,0.57
1.5e-05,-2.24,0.128,0.59
1.6e-05,-2.2,0.128,0.59
1.7e-05,-2.2,0.128,0.57
1.8e-05,-2.2,0.128,0.59
1.9e-05,-2.2,0.128,0.57
2.0e-05,-2.24,0.128,0.57
2.1e-05,-2.2,0.128,0.59
2.2e-05,-2.24,0.12,0.57
2.3e-05,-2.2,0.12,0.57
2.4e-05,-2.2,0.136,0.59
2.5e-05,-2.16,0.136,0.61
2.6e-05,-2.24,0.128,0.59
2.7e-05,-2.24,0.128,0.59
2.8e-05,-2.2,0.128,0.57
2.9e-05,-2.2,0.128,0.61
3.0e-05,-2.24,0.128,0.57
3.1e-05,-2.2,0.136,0.59
3.2e-05,-2.2,0.128,0.59
3.3e-05,-2.2,0.128,0.57
3.4e-05,-2.2,0.12,0.55
3.5e-05,-2.2,0.128,0.57
3.6e-05,-2.2,0.128,0.59
3.7e-05,-2.2,0.128,0.57
3.8e-05,-2.2,0.128,0.57
3.9e-05,-2.2,0.128,0.57
4.0e-05,-2.2,0.128,0.57
4.1e-05,-2.24,0.12,0.59
4.2e-05,-2.2,0.128,0.59
4.3e-05,-2.2,0.12,0.59
4.4e-05,-2.2,0.128,0.59
4.5e-05,-2.2,0.12,0.57
4.6e-05,-2.2,0.136,0.57
4.7e-05,-2.2,0.128,0.59
4.8e-05,-2.16,0.136,0.57
4.9e-05,-2.24,0.136,0.59
5.0e-05,-2.2,0.128,0.59
5.1e-05,-2.2,0.128,0.57
5.2e-05,-2.2,0.12,0.57
5.3e-05,-2.2,0.128,0.57
5.4e-05,-2.2,0.136,0.57
5.5e-05,-2.2,0.128,0.59
5.6e-05,-2.16,0.12,0.59
5.7e-05,-2.24,0.128,0.59
5.8e-05,-2.2,0.128,0.61
5.9e-05,-2.16,0.128,0.57
6.0e-05,-2.24,0.128,0.57
6.1e-05,-2.2,0.128,0.57
6.2e-05,-2.2,0.12,0.59
6.3e-05,-2.2,0.128,0.61
6.4e-05,-2.2,0.128,0.59
6.5e-05,-2.24,0.136,0.57
6.6e-05,-2.24,0.12,0.59
6.7e-05,-2.2,0.128,0.59
