Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,0.001,,,
Horizontal Delay,0.00357,,,
Sample Interval,1e-06,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,5,10,0.002
Vertical Position,-3,-1.04,-0.94,0.98
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.430000e-03,0.0134375,0.071875,0.21875,-0.00091125
-1.429000e-03,0.0084375,-0.0414063,0.265625,-0.00107125
-1.428000e-03,0.0140625,-0.053125,0.195312,-0.00100094
-1.427000e-03,0.0034375,0.046875,0.142188,-0.00120656
-1.426000e-03,0.00375,-0.0289063,0.19375,-0.00106625
-1.425000e-03,0.00375,-0.0273438,0.21875,-0.00107125
-1.424000e-03,0.0040625,-0.003125,0.19375,-0.00106594
-1.423000e-03,0.0034375,0.0335937,0.217187,-0.00102688
-1.422000e-03,-0.0165625,-0.028125,0.290625,-0.000961563
-1.421000e-03,0.0140625,-0.115625,0.167188,-0.000966563
-1.420000e-03,0.01875,0.0101562,0.24375,-0.00105625
-1.419000e-03,0.00875,0.034375,0.167188,-0.00118125
-1.418000e-03,-0.0059375,-0.0414063,0.21875,-0.00118625
-1.417000e-03,-0.00625,-0.028125,0.19375,-0.00100156
-1.416000e-03,0.01375,0.0351562,0.26875,-0.00110125
-1.415000e-03,0.0034375,-0.00390625,0.192187,-0.00105156
-1.414000e-03,-0.02125,-0.00234375,0.34375,-0.00110594
-1.413000e-03,0.0034375,0.00859375,0.217187,-0.00115156
-1.412000e-03,0.0084375,0.046875,0.267188,-0.00108156
-1.411000e-03,-0.00625,-0.0164063,0.39375,-0.00106625
-1.410000e-03,0.0090625,-0.0015625,0.220313,-0.00104594
-1.409000e-03,0.003125,0.0078125,0.215625,-0.00105625
-1.408000e-03,-0.0115625,-0.0289063,0.21875,-0.00129156
-1.407000e-03,-0.006875,-0.0046875,0.215625,-0.00138688
-1.406000e-03,-0.00125,-0.028125,0.270312,-0.00143125
-1.405000e-03,0.0090625,0.0335937,0.19375,-0.00126625
-1.404000e-03,0.0034375,-0.065625,0.265625,-0.00106656
-1.403000e-03,0.0034375,-0.040625,0.16875,-0.00105125
-1.402000e-03,0.01875,-0.028125,0.145312,-0.00091125
-1.401000e-03,-0.01625,0.034375,0.14375,-0.00096125
-1.400000e-03,0.02375,-0.015625,0.24375,-0.000860938
-1.399000e-03,0.0040625,-0.0914063,0.29375,-0.00096625
-1.398000e-03,-0.0109375,-0.0273438,0.24375,-0.00105125
-1.397000e-03,0.0034375,-0.0414063,0.19375,-0.00118656
-1.396000e-03,-0.006875,0.021875,0.370313,-0.00117594
-1.395000e-03,-0.01125,-0.0289063,0.24375,-0.00116625
-1.394000e-03,0.01875,-0.0273438,0.167188,-0.00132125
-1.393000e-03,-0.0009375,-0.0289063,0.142188,-0.00126156
-1.392000e-03,0.0034375,0.009375,0.167188,-0.00125125
-1.391000e-03,0.0034375,-0.040625,0.192187,-0.00107625
